309,35,-33.2,0.21
310,18,-157.4,0.21
311,36,-80.6,0.21
312,20,-187.3,0.21
313,21,-169.1,0.21
314,31,-58.3,0.21
315,33,-44.4,0.21
316,74,-31.6,0.21
317,17,-155.4,0.21
318,24,-154.9,0.21
319,21,-127.6,0.2
320,18,-154.7,0.2
321,30,-110.3,0.2
322,17,-158.7,0.2
323,50,-14.3,0.2
324,66,-2.6,0.2
325,34,-76.1,0.2
326,49,-137.0,0.2
327,16,-183.8,0.2
328,64,-206.5,0.2
329,19,-177.2,0.19
330,36,-132.7,0.19
331,42,-217.6,0.19
332,41,-109.7,0.19
333,42,-123.0,0.19
334,16,-170.6,0.19
335,34,-71.6,0.19
336,21,-143.5,0.19
337,29,-127.5,0.19
338,60,-47.4,0.19
339,34,-106.4,0.18
340,56,67.4,0.18
341,23,-182.4,0.18
342,16,-167.3,0.18
343,17,-164.0,0.18
344,34,-95.5,0.18
345,30,-69.5,0.18
346,25,-125.3,0.18
347,18,-146.8,0.18
348,14,-177.2,0.18
349,38,-91.7,0.18
350,18,-185.6,0.17
351,15,-173.9,0.17
352,22,-177.4,0.17
353,33,-99.8,0.17
354,14,-177.2,0.17
355,14,-180.5,0.17
356,16,-167.3,0.17
357,31,-102.4,0.17
358,20,-167.4,0.17
359,20,-187.3,0.17
360,29,-197.5,0.17
361,36,-197.3,0.17
362,27,-96.3,0.16
363,28,-93.3,0.16
364,34,-69.9,0.16
365,37,-127.2,0.16
366,39,-54.3,0.16
367,52,4.0,0.16
368,14,-183.8,0.16
369,18,-183.8,0.16
370,41,-56.2,0.16
371,19,-173.9,0.16
372,45,-55.6,0.16
373,63,-20.7,0.16
374,83,195.6,0.15
375,52,-30.1,0.15
376,56,-43.4,0.15
377,58,-27.3,0.15
378,42,-91.6,0.15
379,15,-180.5,0.15
380,23,-170.6,0.15
381,43,-64.0,0.15
382,26,-220.6,0.15
383,34,-91.5,0.15
384,18,-170.6,0.15
385,32,-60.9,0.15
386,66,121.7,0.15
387,42,-115.0,0.15
388,25,-154.5,0.14
389,34,-81.1,0.14
390,33,-84.7,0.14
391,28,-220.6,0.14
392,14,-177.2,0.14
393,19,-148.1,0.14
394,32,-58.9,0.14
395,47,-2.0,0.14
396,16,-170.6,0.14
397,36,-89.8,0.14
398,23,-198.9,0.14
399,39,-220.8,0.14
400,20,-180.5,0.14
401,31,-111.3,0.14
402,35,-119.6,0.13
403,23,-159.1,0.13
404,38,-118.0,0.13
405,55,-18.7,0.13
406,25,-147.5,0.13
407,41,-93.1,0.13
408,18,-167.3,0.13
409,42,-114.3,0.13
410,20,-164.0,0.13
411,58,-43.9,0.13
412,21,-190.6,0.13
413,29,-102.0,0.13
414,72,157.8,0.13
415,85,69.8,0.13
416,41,-57.0,0.13
417,32,-91.7,0.12
418,16,-180.5,0.12
419,35,-60.9,0.12
420,39,-129.6,0.12
421,33,-74.8,0.12
422,27,-90.6,0.12
423,16,-180.5,0.12
424,36,-112.7,0.12
425,19,-164.0,0.12
426,18,-190.5,0.12
427,52,-26.1,0.12
428,31,-80.5,0.12
429,22,-180.7,0.12
430,32,-120.5,0.12
431,31,-79.4,0.12
432,32,-99.3,0.12
433,34,-107.9,0.12
434,16,-183.8,0.11
435,19,-173.9,0.11
436,21,-188.9,0.11
437,26,-103.1,0.11
438,35,-60.9,0.11
439,58,-62.3,0.11
440,37,-127.1,0.11
441,37,-42.4,0.11
442,33,-151.1,0.11
443,44,-43.1,0.11
444,28,-91.9,0.11
445,42,-78.6,0.11
446,17,-160.7,0.11
447,18,-152.1,0.11
448,34,-90.1,0.11
449,32,-88.1,0.11
450,38,-41.7,0.11
451,20,-153.4,0.11
452,98,219.8,0.1
453,34,-101.3,0.1
454,17,-177.2,0.1
455,45,-127.3,0.1
456,27,-97.2,0.1
457,99,185.5,0.1
458,46,-123.6,0.1
459,25,-99.8,0.1
460,38,-95.8,0.1
461,37,-99.1,0.1
462,18,-177.2,0.1
463,26,-200.6,0.1
464,18,-173.9,0.1
465,43,-106.4,0.1
466,19,-177.2,0.1
467,27,-205.6,0.1
468,25,-197.2,0.1
469,43,-121.3,0.1
470,17,-183.8,0.1
471,21,-177.2,0.1
472,102,185.8,0.09
473,30,-137.0,0.09
474,121,130.8,0.09
475,51,-86.6,0.09
476,21,-164.0,0.09
477,20,-167.3,0.09
478,62,-75.9,0.09
479,37,-108.7,0.09
480,39,-142.8,0.09
481,21,-164.0,0.09
482,21,-156.4,0.09
483,34,-152.0,0.09
484,115,273.6,0.09
485,21,-144.1,0.09
486,23,-125.6,0.09
487,36,-178.3,0.09
488,74,34.2,0.09
489,68,-9.5,0.09
490,65,58.6,0.09
491,37,-71.5,0.09
492,19,-150.1,0.09
493,49,-64.8,0.09
494,81,60.7,0.08
495,242,628.5,0.08
496,98,92.3,0.08
497,48,-119.9,0.08
498,60,-39.0,0.08
499,265,452.4,0.08
500,22,-173.9,0.08
501,20,-180.5,0.08
502,66,7.9,0.08
503,108,81.6,0.08
