371,18,-114.8,0.28,0:00:08
372,42,17.1,0.27,0:00:26
373,43,17.2,0.27,0:00:45
374,85,244.0,0.27,0:01:22
375,12,-143.9,0.27,0:01:28
376,31,-27.5,0.27,0:01:42
377,40,23.4,0.27,0:02:00
378,16,-86.0,0.27,0:02:08
379,31,-13.5,0.27,0:02:22
380,73,196.9,0.27,0:02:54
381,15,-121.3,0.27,0:03:02
382,23,-76.4,0.26,0:03:13
383,69,137.5,0.26,0:03:44
384,21,-121.4,0.26,0:03:53
385,38,-37.3,0.26,0:04:11
386,42,-16.6,0.26,0:04:30
387,16,-132.5,0.26,0:04:38
388,17,-106.4,0.26,0:04:46
389,15,-133.1,0.26,0:04:53
390,16,-129.0,0.26,0:05:01
391,97,205.4,0.26,0:05:44
392,38,-30.5,0.26,0:06:02
393,20,-102.6,0.25,0:06:11
394,122,314.7,0.25,0:07:05
395,117,372.3,0.25,0:07:57
396,73,147.4,0.25,0:08:29
397,155,467.1,0.25,0:09:36
398,17,-94.9,0.25,0:09:43
399,38,-10.8,0.25,0:10:00
400,87,181.0,0.25,0:10:38
401,58,53.5,0.25,0:11:02
402,17,-124.4,0.25,0:11:10
403,61,82.5,0.25,0:11:36
404,104,258.4,0.25,0:12:21
405,34,-51.7,0.24,0:12:36
406,25,-71.9,0.24,0:12:48
407,20,-90.8,0.24,0:12:57
408,35,-16.1,0.24,0:13:12
409,133,379.7,0.24,0:14:10
410,17,-102.9,0.24,0:14:18
411,22,-70.4,0.24,0:14:28
412,46,3.3,0.24,0:14:47
413,98,241.5,0.24,0:15:30
414,16,-105.5,0.24,0:15:37
415,35,-9.6,0.24,0:15:53
416,57,77.6,0.24,0:16:18
417,15,-120.1,0.23,0:16:25
418,18,-88.3,0.23,0:16:33
419,13,-128.8,0.23,0:16:39
420,14,-123.7,0.23,0:16:46
421,14,-135.2,0.23,0:16:52
422,143,431.5,0.23,0:17:53
423,17,-107.9,0.23,0:18:01
424,82,164.6,0.23,0:18:37
425,22,-89.2,0.23,0:18:47
426,36,-17.0,0.23,0:19:03
427,11,-144.5,0.23,0:19:08
428,16,-107.5,0.23,0:19:15
429,170,579.9,0.22,0:20:28
430,53,70.7,0.22,0:20:53
431,17,-122.9,0.22,0:21:00
432,17,-110.9,0.22,0:21:08
433,15,-108.7,0.22,0:21:15
434,16,-103.5,0.22,0:21:23
435,17,-116.0,0.22,0:21:31
436,35,-35.1,0.22,0:21:47
437,61,84.3,0.22,0:22:13
438,15,-108.6,0.22,0:22:20
439,16,-124.6,0.22,0:22:28
440,18,-89.3,0.22,0:22:36
441,19,-87.3,0.22,0:22:45
