1000,355,1837.6,0.05,0:02:40
1001,48,70.2,0.05,0:03:03
1002,124,470.1,0.05,0:04:00
1003,134,747.1,0.05,0:05:02
1004,132,754.5,0.05,0:06:02
1005,131,743.2,0.05,0:07:02
1006,82,217.8,0.05,0:07:40
1007,415,2122.5,0.05,0:10:50
1008,60,98.8,0.05,0:11:19
1009,237,911.3,0.05,0:13:06
1010,119,389.0,0.05,0:14:01
1011,288,1391.6,0.05,0:16:11
1012,262,1209.5,0.05,0:18:07
1013,74,158.9,0.05,0:18:41
1014,116,717.2,0.05,0:19:32
1015,42,-13.3,0.05,0:19:51
1016,37,1.1,0.05,0:20:08
1017,45,45.3,0.05,0:20:29
1018,50,137.9,0.05,0:20:51
1019,209,939.7,0.05,0:22:26
1020,417,2423.8,0.05,0:25:35
1021,63,168.7,0.05,0:26:04
1022,430,2550.1,0.05,0:29:11
